id,mz_low,mz_high,name,root_region_intensity,spec_id
380,714.4923032513788,714.524535558364,PE(14:0/20:2(11Z_14Z))_1,137.8016357421875,082a66f0-6854-4d28-ad94-4f8d8c5545c3
381,697.4663858570773,697.4970585363052,PA(14:1(9Z)/22:2(13Z_16Z))_1,190.81825256347656,468e7585-19c7-4364-8349-0100cacac5c6
382,695.4505438591451,695.4804887120863,PA(14:0/22:4(7Z_10Z_13Z_16Z))_1,182.42288208007812,a7d4b20d-16e3-4bd8-bf00-70f7af56a358
383,687.4793075022977,687.5092003676469,PA(20:1(11Z)/15:0)_1,127.11048889160156,848a4de8-744a-4816-b9ff-6cc35975c50d
384,675.4725491153494,675.5065490004596,PA(14:0/20:0)_1,207.65350341796875,f8311b7a-95e6-4e09-a01a-0d0bd5427ba2
385,671.4533808670644,671.4801555002767,PA(16:0/18:2(9Z_12Z))_1,208.18865966796875,3bc18f09-acb7-4862-b93c-496d7702ddb0
386,661.4677928840325,661.494087002631,PA(15:0/18:0)_1,95.98822784423828,fdd58563-0ed0-42d6-95bd-9027cfa5d24b
387,611.1316281307444,611.1550225471047,Oxidized glutathione_1,159.83763122558594,4d92a6f2-a362-4a91-a2d9-c772db4d4777
388,597.2895579618566,597.3173193359376,LPI(18:1)_1,238.19171142578125,d24e03be-8096-4bec-8ff6-af8873ffebab
389,571.2756485523897,571.300862534467,LPI(16:0)_1,211.94227600097656,1b1e4168-749c-4b53-b3cd-34f83cae9fb6
390,568.2677620955338,568.2898916169414,LPS(22:6)_1,202.70162963867188,38432b5e-b307-4025-bafe-b5e3ba385096
391,565.034663660386,565.0600336052389,Uridine diphosphate glucose_1,131.01397705078125,f9963075-7e14-45c1-8cc6-55a2ddd9ffd7
392,547.3252047909007,547.3518224379595,PA(25:1)_1,117.78113555908203,a032c280-4f52-46b7-9b7e-54a2b36cef02
393,526.2739990234375,526.3044117647058,LysoPE(0:0/22:5(4Z_7Z_10Z_13Z_16Z))_1,274.5049133300781,dcfc6eb6-18a1-47b6-9b72-efecabb6e4bb
394,502.27636898265166,502.3023627786075,LysoPE(0:0/20:3(11Z_14Z_17Z))_1,230.8610076904297,821514dd-6a33-4185-8bed-baaf6b195a98
395,448.3063829130285,448.3295693790211,Chenodeoxycholic acid glycine conjugate_1,135.94235229492188,3a76ccc0-337d-460c-8910-56028b630add
396,383.11020363634964,383.12680077740526,S-Adenosylhomocysteine_1,185.28350830078125,881230d3-e272-453a-a187-2bacbdfcb61a
397,259.01585372152203,259.0308537215221,Glucose 6-phosphate_1,3741.7880859375,78d15e05-098b-4e6d-a922-3e6cd06e08c5
